Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Urban population,SP.URB.TOTL,Afghanistan,AFG,2593995,4436299,6588859,6837008,7114615,7416385,7733964,8054214,8367663,8670939,8971345,..
Urban population,SP.URB.TOTL,Albania,ALB,1197222,1289391,1495260,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345,..
Urban population,SP.URB.TOTL,Algeria,DZA,13496456,18684937,23700349,24393852,25124194,25888503,26674438,27465760,28248180,29016679,29770548,..
Urban population,SP.URB.TOTL,American Samoa,ASM,38076,50956,49309,48735,48406,48282,48310,48390,48449,48481,48502,..
Urban population,SP.URB.TOTL,Andorra,AND,51627,60417,75097,75007,74309,73059,71527,70066,68921,68199,67845,..
Urban population,SP.URB.TOTL,Angola,AGO,4520960,8234766,13311900,13970768,14659013,15375909,16119491,16887478,17675615,18483548,19311773,..
Urban population,SP.URB.TOTL,Antigua and Barbuda,ATG,23628,26853,25097,24837,24603,24703,24798,24892,24981,25085,25210,..
Urban population,SP.URB.TOTL,Argentina,ARG,28469636,33033754,37001390,37451491,37903594,38358970,38817256,39275219,39728558,40176085,40618237,..
Urban population,SP.URB.TOTL,Armenia,ARM,2385466,1984980,1835406,1825366,1821393,1822527,1827656,1834174,1840158,1845032,1849202,..
Urban population,SP.URB.TOTL,Aruba,ABW,31273,42444,44052,43778,43822,44064,44360,44674,44979,45275,45572,..
Urban population,SP.URB.TOTL,Australia,AUS,14579227,16133530,18451611,18767085,19056040,19422528,19790208,20120012,20440360,20772874,21131467,..
Urban population,SP.URB.TOTL,Austria,AUT,4833974,4824004,4812679,4800510,4792887,4817487,4861991,4916377,4988134,5058968,5117624,..
Urban population,SP.URB.TOTL,Azerbaijan,AZE,3847891,4135854,4759039,4835557,4920166,5008847,5098727,5189181,5279540,5368846,5458164,..
Urban population,SP.URB.TOTL,"Bahamas, The",BHS,204654,244291,292348,297423,302331,307051,311585,315931,320093,324065,327853,..
Urban population,SP.URB.TOTL,Bahrain,BHR,437114,587333,1049687,1099826,1133761,1154099,1168545,1188257,1220937,1269685,1331176,..
Urban population,SP.URB.TOTL,Bangladesh,BGD,21037032,31040015,44698589,46347659,48058996,49821756,51623507,53456560,55304800,57168296,59047279,..
Urban population,SP.URB.TOTL,Barbados,BRB,97302,91281,89286,89099,88951,88849,88790,88779,88815,88899,89027,..
Urban population,SP.URB.TOTL,Belarus,BLR,6722804,6983033,7051358,7086808,7122689,7164339,7212995,7266287,7324181,7378986,7428883,..
Urban population,SP.URB.TOTL,Belgium,BEL,9606261,9956937,10537701,10639649,10793425,10877193,10935565,10966157,11034732,11095615,11140192,..
Urban population,SP.URB.TOTL,Belize,BLZ,89022,112276,142037,145457,148887,152344,155852,159440,163138,166946,170858,..
Urban population,SP.URB.TOTL,Benin,BEN,1716834,2631925,3808656,3964237,4125667,4292992,4466187,4646096,4832681,5026155,5226648,..
Urban population,SP.URB.TOTL,Bermuda,BMU,59326,61833,65636,65124,64564,64798,65001,65139,65239,65341,65441,..
Urban population,SP.URB.TOTL,Bhutan,BTN,88049,145751,242987,253168,263510,273862,284175,294414,304545,314543,324393,..
Urban population,SP.URB.TOTL,Bolivia,BOL,3810495,5152734,6439212,6588688,6739791,6892386,7040875,7187232,7334947,7484112,7634445,..
Urban population,SP.URB.TOTL,Bosnia and Herzegovina,BIH,1751849,1596481,1694907,1695707,1692377,1685432,1677009,1670315,1668019,1671121,1679019,..
Urban population,SP.URB.TOTL,Botswana,BWA,577800,919805,1206481,1257518,1310088,1353208,1395705,1439239,1483586,1528669,1574371,..
Urban population,SP.URB.TOTL,Brazil,BRA,110404093,142319498,163798391,165968133,168150531,170322404,172470371,174585892,176653700,178668678,180634620,..
Urban population,SP.URB.TOTL,British Virgin Islands,VGB,6225,8624,11763,12200,12598,12972,13324,13674,14028,14397,14767,..
Urban population,SP.URB.TOTL,Brunei Darussalam,BRN,171932,237148,286325,291345,296731,302433,308332,314262,320100,325819,331434,..
Urban population,SP.URB.TOTL,Bulgaria,BGR,5786939,5629167,5357245,5347166,5337678,5331472,5326274,5320503,5310996,5298039,5283572,..
Urban population,SP.URB.TOTL,Burkina Faso,BFA,1217244,2071321,3645825,3844033,4051997,4269905,4497980,4736607,4985855,5245987,5516754,..
Urban population,SP.URB.TOTL,Burundi,BDI,339601,527802,880822,932977,987099,1043248,1102293,1164857,1231868,1303728,1380411,..
Urban population,SP.URB.TOTL,Cabo Verde,CPV,150839,232484,303227,310579,316638,322887,329316,335919,342663,349549,356578,..
Urban population,SP.URB.TOTL,Cambodia,KHM,1394996,2258637,2808178,2903816,3003963,3108609,3217109,3328880,3443053,3559458,3678035,..
Urban population,SP.URB.TOTL,Cameroon,CMR,4645904,6956192,9901657,10296588,10704286,11124963,11558305,12004211,12462625,12933510,13416447,..
Urban population,SP.URB.TOTL,Canada,CAN,21282904,24455142,27157761,27522849,27850621,28195550,28535991,28861099,29117142,29483123,29862026,..
Urban population,SP.URB.TOTL,Cayman Islands,CYM,25010,41687,54279,55507,56579,57523,58371,59172,59963,60765,61559,..
Urban population,SP.URB.TOTL,Central African Republic,CAF,1082574,1413339,1704173,1730654,1751742,1768685,1784697,1804305,1831033,1866243,1909291,..
Urban population,SP.URB.TOTL,Chad,TCD,1239682,1805079,2523021,2613401,2710139,2813171,2921961,3035755,3154219,3277403,3405841,..
Urban population,SP.URB.TOTL,Channel Islands,CHI,44159,45309,49154,49556,49900,50116,50320,50512,50703,50893,51105,..
Urban population,SP.URB.TOTL,Chile,CHL,11026856,13137110,14644476,14796793,14946063,15092194,15235753,15377374,15517478,15657065,15796080,..
Urban population,SP.URB.TOTL,China,CHN,300165618,452999147,637407288,658498663,678933504,699187267,719587859,740239259,761027100,782199374,803554542,..
Urban population,SP.URB.TOTL,Colombia,COL,23812226,29881555,35237052,35799585,36352646,36896190,37429834,37953946,38469138,38975281,39471325,..
Urban population,SP.URB.TOTL,Comoros,COM,114707,152294,187979,192928,198122,203573,209274,215195,221333,227693,234276,..
Urban population,SP.URB.TOTL,"Congo, Dem. Rep.",COD,10603485,16534169,24646110,25817693,27048361,28337822,29686725,31096302,32566435,34098266,35691987,..
Urban population,SP.URB.TOTL,"Congo, Rep.",COG,1325754,1893340,2671331,2774847,2875151,2973183,3070683,3170356,3274298,3383093,3496242,..
Urban population,SP.URB.TOTL,Costa Rica,CRI,1548090,2318053,3167592,3260602,3352273,3441537,3528389,3612950,3695411,3775802,3853972,..
Urban population,SP.URB.TOTL,Cote d'Ivoire,CIV,4826748,7201085,9352149,9655950,9977720,10317769,10674090,11043516,11425753,11819761,12226576,..
Urban population,SP.URB.TOTL,Croatia,HRV,2439569,2364723,2435417,2436627,2368126,2368751,2370674,2370234,2360534,2354458,2337910,..
Urban population,SP.URB.TOTL,Cuba,CUB,7763438,8399069,8659296,8680777,8707768,8739326,8767626,8792719,8813383,8828473,8840528,..
Urban population,SP.URB.TOTL,Curacao,CUW,123122,121481,132200,133691,135409,136353,137738,139450,141158,142534,143629,..
Urban population,SP.URB.TOTL,Cyprus,CYP,511914,647547,743343,751577,758206,763454,767977,772404,777233,782591,788365,..
Urban population,SP.URB.TOTL,Czech Republic,CZE,7772750,7587516,7657912,7673029,7681562,7693579,7705910,7723921,7748928,7773650,7803157,..
Urban population,SP.URB.TOTL,Denmark,DNK,4361727,4544013,4785983,4815111,4844002,4872608,4901386,4932961,4974525,5020143,5063231,..
Urban population,SP.URB.TOTL,Djibouti,DJI,448449,549181,643898,655374,667326,679728,692440,705230,717976,730572,743080,..
Urban population,SP.URB.TOTL,Dominica,DMA,44739,45474,48293,48646,49047,49483,49943,50421,50905,51392,51881,..
Urban population,SP.URB.TOTL,Dominican Republic,DOM,3967241,5287676,7085727,7300061,7502974,7697655,7890792,8082219,8271738,8458974,8643423,..
Urban population,SP.URB.TOTL,Ecuador,ECU,5629146,7614917,9181312,9362557,9539119,9712539,9886352,10060468,10235206,10410089,10585047,..
Urban population,SP.URB.TOTL,"Egypt, Arab Rep.",EGY,24961683,29917666,35492121,36182251,36935951,37712281,38521102,39331585,40122991,40889687,41660073,..
Urban population,SP.URB.TOTL,El Salvador,SLV,2589341,3456736,3962839,4034871,4107215,4179869,4252779,4326106,4399797,4473092,4545815,..
Urban population,SP.URB.TOTL,Equatorial Guinea,GNQ,148308,301583,585086,627158,671026,716629,753680,791534,830013,868944,908248,..
Urban population,SP.URB.TOTL,Eritrea,ERI,588571,902044,1490729,1544478,1600641,..,..,..,..,..,..,..
Urban population,SP.URB.TOTL,Estonia,EST,1117738,969061,910446,906655,902194,899089,897846,897427,899949,902145,903958,..
Urban population,SP.URB.TOTL,Eswatini,SWZ,174015,240805,262842,270399,278134,285192,292422,299802,307330,315077,323014,..
Urban population,SP.URB.TOTL,Ethiopia,ETH,6068999,9807603,14443888,15189225,15969792,16787864,17625395,18497740,19403333,20343419,21316856,..
Urban population,SP.URB.TOTL,Faroe Islands,FRO,14561,17172,19761,19870,19972,20063,20163,20270,20388,20520,20659,..
Urban population,SP.URB.TOTL,Fiji,FJI,303189,388641,440109,448645,456807,464718,472460,480249,488237,496430,504745,..
Urban population,SP.URB.TOTL,Finland,FIN,3957581,4253964,4454167,4492880,4543014,4593267,4629925,4651843,4669930,4686120,4702519,..
Urban population,SP.URB.TOTL,France,FRA,43332245,46214923,50547202,50961407,51373797,51791128,52228040,52650998,53044946,53432321,53815732,..
Urban population,SP.URB.TOTL,French Polynesia,PYF,114764,132976,158663,161541,164305,166986,168447,169789,171288,172984,174853,..
Urban population,SP.URB.TOTL,Gabon,GAB,658388,971097,1348027,1402921,1461068,1522001,1583861,1644081,1700832,1753279,1801886,..
Urban population,SP.URB.TOTL,"Gambia, The",GMB,351247,589659,900725,941884,984669,1029103,1075061,1122480,1171287,1221429,1272923,..
Urban population,SP.URB.TOTL,Georgia,GEO,2642925,2325705,2193867,2180304,2166861,2153590,2140426,2126887,2135400,2151132,2164505,..
Urban population,SP.URB.TOTL,Germany,DEU,58079842,61629857,62877220,62940432,61940177,62064608,62242278,62510392,63062064,63592936,63890984,..
Urban population,SP.URB.TOTL,Ghana,GHA,5330684,8319609,11959326,12430823,12911096,13399971,13897120,14403132,14918445,15442902,15975849,..
Urban population,SP.URB.TOTL,Gibraltar,GIB,29164,31180,32956,33189,33405,33623,33831,34038,34228,34408,34571,..
Urban population,SP.URB.TOTL,Greece,GRC,7287341,7857551,8433780,8484693,8511794,8505100,8482139,8463623,8445266,8446960,8471034,..
Urban population,SP.URB.TOTL,Greenland,GRL,44312,45859,47360,48018,48217,48402,48322,48308,48298,48503,48629,..
Urban population,SP.URB.TOTL,Grenada,GRD,32185,36276,37412,37542,37679,37835,38017,38224,38453,38711,38994,..
Urban population,SP.URB.TOTL,Guam,GUM,118472,144656,149690,150035,150398,150818,151336,152032,152953,154127,155523,..
Urban population,SP.URB.TOTL,Guatemala,GTM,3890060,5281515,6886669,7081561,7280273,7482817,7690649,7903499,8121501,8344133,8571763,..
Urban population,SP.URB.TOTL,Guinea,GIN,1693077,2719110,3524929,3635261,3748206,3864467,3985324,4112567,4249086,4395595,4551859,..
Urban population,SP.URB.TOTL,Guinea-Bissau,GNB,312086,450583,602670,624079,646570,670130,694626,719894,745799,772271,799328,..
Urban population,SP.URB.TOTL,Guyana,GUY,219893,216152,200360,198838,197762,198816,200133,201643,203203,204786,206428,..
Urban population,SP.URB.TOTL,Haiti,HTI,2024134,3043515,4584343,4750718,4919540,5090792,5263874,5438899,5615488,5792042,5967859,..
Urban population,SP.URB.TOTL,Honduras,HND,2004926,2965809,4115940,4251861,4388181,4525174,4662910,4802256,4943241,5086164,5230779,..
Urban population,SP.URB.TOTL,"Hong Kong SAR, China",HKG,5676947,6665000,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700,..
Urban population,SP.URB.TOTL,Hungary,HUN,6830026,6593735,6861506,6891116,6916190,6912310,6920508,6928924,6939335,6946267,6950664,..
Urban population,SP.URB.TOTL,Iceland,ISL,231255,259836,297832,297604,298556,300190,303150,306653,309974,314424,320032,..
Urban population,SP.URB.TOTL,India,IND,222293000,291347596,371408805,380742328,390085540,399558252,409178263,419003394,429068623,439386539,449964523,..
Urban population,SP.URB.TOTL,Indonesia,IDN,55490637,88851211,117597550,121053491,124315715,127617366,130943362,134288263,137633967,140973624,144295048,..
Urban population,SP.URB.TOTL,"Iran, Islamic Rep.",IRN,31672210,42352162,51614455,52664050,53750006,54859262,55981911,57106798,58217266,59308964,60380245,..
Urban population,SP.URB.TOTL,Iraq,IRQ,12176945,16141365,20621331,21257949,21976695,22757429,23580975,24419541,25252423,26076771,26898636,..
Urban population,SP.URB.TOTL,Ireland,IRL,2000470,2250951,2782090,2806411,2827835,2849043,2873286,2903635,2940510,2983355,3030022,..
Urban population,SP.URB.TOTL,Isle of Man,IMN,35409,37600,41230,41633,42004,42369,42725,43081,43451,43830,44215,..
Urban population,SP.URB.TOTL,Israel,ISR,4210729,5735757,6869011,7000447,7136149,7274496,7417238,7566988,7724692,7884198,8044682,..
Urban population,SP.URB.TOTL,Italy,ITA,37846480,38277624,40308358,40502481,40641670,40894259,41548775,42109853,42247229,42351339,42473185,..
Urban population,SP.URB.TOTL,Jamaica,JAM,1198642,1376628,1501782,1514053,1525946,1537886,1549957,1562242,1574768,1587569,1600590,..
Urban population,SP.URB.TOTL,Japan,JPN,95542280,99760751,115228215,116302928,116416235,116331281,116262976,116208079,116182717,116145370,116053379,..
Urban population,SP.URB.TOTL,Jordan,JOR,2609586,3994220,5793037,6183176,6603229,7048251,7498500,7928375,8266820,8558068,8804594,..
Urban population,SP.URB.TOTL,Kazakhstan,KAZ,9198366,8349417,9133481,9275230,9421047,9566957,9718100,9874723,10032906,10189588,10342065,..
Urban population,SP.URB.TOTL,Kenya,KEN,3919452,6256130,9328191,9746644,10183670,10639302,11114369,11607776,12119879,12650892,13201277,..
Urban population,SP.URB.TOTL,Kiribati,KIR,25335,36259,46811,48647,50481,52328,54188,56083,58023,60000,61996,..
Urban population,SP.URB.TOTL,"Korea, Dem. People’s Rep.",PRK,11847897,13622622,14725515,14847670,14971082,15095843,15220957,15345595,15468715,15594344,15722317,..
Urban population,SP.URB.TOTL,"Korea, Rep.",KOR,31656393,37428328,40351067,40602657,40909592,41089082,41240244,41463573,41645542,41797024,41946498,..
Urban population,SP.URB.TOTL,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Urban population,SP.URB.TOTL,Kuwait,KWT,2057077,2030234,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528,..
Urban population,SP.URB.TOTL,Kyrgyz Republic,KGZ,1658864,1729037,1899444,1923436,1949521,1986238,2031430,2079480,2131200,2185215,2240912,..
Urban population,SP.URB.TOTL,Lao PDR,LAO,657380,1171221,1813313,1877880,1941847,2005638,2069945,2136474,2206306,2279998,2357012,..
Urban population,SP.URB.TOTL,Latvia,LVA,1844232,1611520,1452351,1423002,1397904,1381242,1367090,1354815,1344323,1332897,1321159,..
Urban population,SP.URB.TOTL,Lebanon,LBN,2246747,2782415,3647168,3787799,4014088,4308540,4631890,4927916,5155504,5301846,5378567,..
Urban population,SP.URB.TOTL,Lesotho,LSO,224022,365293,490526,506016,522440,537195,552652,568676,585153,602018,619305,..
Urban population,SP.URB.TOTL,Liberia,LBR,1162328,1278737,1808379,1887717,1961536,2031529,2099640,2168892,2241711,2318631,2398934,..
Urban population,SP.URB.TOTL,Libya,LBY,3359573,4091098,4764444,4815137,4848087,4866376,4879698,4901804,4942449,5005653,5088027,..
Urban population,SP.URB.TOTL,Liechtenstein,LIE,4866,5036,5193,5207,5226,5250,5280,5314,5350,5387,5429,..
Urban population,SP.URB.TOTL,Lithuania,LTU,2499110,2344199,2114156,2067653,2020994,1997745,1981238,1967853,1952971,1932212,1909164,..
Urban population,SP.URB.TOTL,Luxembourg,LUX,309096,367434,438935,448892,460842,473864,486709,500042,513663,526490,543862,..
Urban population,SP.URB.TOTL,"Macao SAR, China",MAC,343120,427979,525313,536969,549439,562531,575841,588781,600942,612167,622567,..
Urban population,SP.URB.TOTL,Madagascar,MDG,2733334,4276115,6438341,6755411,7084179,7425096,7778777,8146502,8528703,8926190,9339002,..
Urban population,SP.URB.TOTL,Malawi,MWI,1090981,1662059,2270316,2357573,2449160,2545306,2646707,2753545,2866783,2986195,3112498,..
Urban population,SP.URB.TOTL,Malaysia,MYS,8982002,14369744,19344472,19934986,20505329,21082947,21665114,22240868,22800575,23340549,23859558,..
Urban population,SP.URB.TOTL,Maldives,MDV,57679,77683,127695,132806,138232,143926,149759,155567,161206,166628,171827,..
Urban population,SP.URB.TOTL,Mali,MLI,1974251,3109998,5141522,5426880,5718929,6018348,6327153,6648757,6985590,7338834,7708272,..
Urban population,SP.URB.TOTL,Malta,MLT,320102,360316,387733,389936,391879,395713,401597,409992,420192,430220,439915,..
Urban population,SP.URB.TOTL,Marshall Islands,MHL,30769,35771,38242,38568,38901,39233,39566,39877,40175,40451,40713,..
Urban population,SP.URB.TOTL,Mauritania,MRT,798312,1032022,1601883,1681614,1765634,1853836,1945699,2040210,2136716,2234895,2334918,..
Urban population,SP.URB.TOTL,Mauritius,MUS,464802,506439,519754,519604,519046,519081,518842,518383,517668,516887,516481,..
Urban population,SP.URB.TOTL,Mexico,MEX,60961740,76006974,89539653,91291734,93022403,94735434,96434582,98126368,99812639,101492842,103158834,..
Urban population,SP.URB.TOTL,"Micronesia, Fed. Sts.",FSM,24871,23990,23188,23104,23079,23106,23183,23298,23451,23638,23861,..
Urban population,SP.URB.TOTL,Moldova,MDA,1728324,1622858,1520766,1518144,1516162,1514860,1513351,1511326,1510140,1509971,1510667,..
Urban population,SP.URB.TOTL,Monaco,MCO,29439,32082,36534,37094,37497,37783,37971,38132,38307,38499,38695,..
Urban population,SP.URB.TOTL,Mongolia,MNG,1245683,1369727,1776547,1832856,1876809,1914518,1953776,1993015,2031123,2067622,2102605,..
Urban population,SP.URB.TOTL,Montenegro,MNE,291283,354162,394521,397301,399777,402174,404636,407105,409418,411597,413800,..
Urban population,SP.URB.TOTL,Morocco,MAR,12039263,15386945,18378836,18803424,19249027,19714269,20193387,20678703,21163552,21645836,22125659,..
Urban population,SP.URB.TOTL,Mozambique,MOZ,3311912,5257336,7369618,7709673,8064277,8433738,8818506,9219011,9635678,10068983,10519085,..
Urban population,SP.URB.TOTL,Myanmar,MMR,10255284,12457299,14290308,14487531,14698294,14921713,15155095,15395520,15646687,15908933,16183036,..
Urban population,SP.URB.TOTL,Namibia,NAM,391247,614846,867660,904386,944674,989181,1036782,1086531,1137588,1189295,1241686,..
Urban population,SP.URB.TOTL,Nauru,NRU,9155,10037,9945,10025,10057,10279,10821,11853,12475,13049,13649,..
Urban population,SP.URB.TOTL,Nepal,NPL,1660072,3180570,4394633,4531240,4675128,4827124,4985583,5149732,5317746,5489916,5666414,..
